"Title","Speaker","Room","StartTime"
"Hashing: The Cornerstone of Blockchain Security and Data Integrity","James Davis","Auditorium","7/26/2025 8:30:00 AM"
"Identify Poorly Performing Queries - Three Tools You Already Own","Grant Fritchey","Auditorium","7/26/2025 9:40:00 AM"
"PrAIctical Engineering","Cory Murray, Bryan Fuselier","Auditorium","7/26/2025 11:20:00 AM"
"Building Scalable Data Warehouses with Microsoft Fabric:","Jonathan Stewart","Auditorium","7/26/2025 1:40:00 PM"
"Common SQL Server Mistakes and How to Avoid Them","Tim Radney","Auditorium","7/26/2025 2:45:00 PM"
"How to Diagnose a Slow Power BI Report","Jason Romans","BEC 1220 (Analytics)","7/26/2025 8:30:00 AM"
"Applying Forensic Accounting Techniques using SQL and Python","Kevin Feasel","BEC 1220 (Analytics)","7/26/2025 9:40:00 AM"
"Mastering Microsoft Fabric Data Warehousing: Tips & Tricks You Need to Know","Kristyna Ferris","BEC 1220 (Analytics)","7/26/2025 11:20:00 AM"
"Cutting Through the Buzz: LLM, Agents, RAG, and GPT - Making Sense of Generative AI","Doug Leal","BEC 1220 (Analytics)","7/26/2025 1:40:00 PM"
"Unlocking Insights using Natural Language on Databricks Genie Spaces","Srikanth Kumar Rana","BEC 1220 (Analytics)","7/26/2025 2:45:00 PM"
"Leadership Principles Uncovered...","Warren Sifre","BEC 1225 (Professional Development)","7/26/2025 8:30:00 AM"
"How to Manage Recruiters and Hiring Managers in the Job Search","Ava McClain","BEC 1225 (Professional Development)","7/26/2025 9:40:00 AM"
"Careers in IT Baton Rouge 2025","Michael Viron","BEC 1225 (Professional Development)","7/26/2025 11:20:00 AM"
"Röck Yoür Cäreer: Time-Tested Wisdom from a 30-Year Software Engineering Veteran","David McCarter","BEC 1225 (Professional Development)","7/26/2025 1:40:00 PM"
"Tales from the SWAMP: Navigating the Murky Waters of Project Management","Tanya Boyd","BEC 1225 (Professional Development)","7/26/2025 2:45:00 PM"
"Mastering PowerShell Functions and Script Modules: Build, Reuse, and Share Your Code Like a Pro","Mike Robbins","BEC 1305 (PowerShell/Automation)","7/26/2025 8:30:00 AM"
"Extending Power BI with Power Automate","Dominick Raimato","BEC 1305 (PowerShell/Automation)","7/26/2025 9:40:00 AM"
"Don't Bash PowerShell","Steven Judd","BEC 1305 (PowerShell/Automation)","7/26/2025 11:20:00 AM"
"Getting Super Geeky with PowerShell Notebooks - It's Easy!","Joe Houghes","BEC 1305 (PowerShell/Automation)","7/26/2025 1:40:00 PM"
"Mastering Cursor: We're All Cooked (But in a Good Way)","Brian Davis","BEC 1305 (PowerShell/Automation)","7/26/2025 2:45:00 PM"
"Rapid Prototyping in the Age of AI","Tommy Parrish","BEC 1325 (.NET Development)","7/26/2025 8:30:00 AM"
"Learn the basics of Git and GitHub workflow","Sean Wheeler","BEC 1325 (.NET Development)","7/26/2025 9:40:00 AM"
"The Developer Testing Toolbox","Jeremy Knight","BEC 1325 (.NET Development)","7/26/2025 11:20:00 AM"
"Intro to Angular","Ryan Richard","BEC 1325 (.NET Development)","7/26/2025 1:40:00 PM"
"SQL Server Configuration Best Practices","Ben Miller","BEC 1325 (.NET Development)","7/26/2025 2:45:00 PM"
"Business Continuity in Azure SQL Databases","John Deardurff","BEC 1409 (Cloud)","7/26/2025 8:30:00 AM"
"Microsoft Fabric and Azure Health Data Services","Jared Rhodes","BEC 1409 (Cloud)","7/26/2025 9:40:00 AM"
"The Rise of AI Agents: What You Need to Know","Muralidhar Chouhan","BEC 1409 (Cloud)","7/26/2025 11:20:00 AM"
"SQL Server Hosting on AWS: Options and Considerations","Alvaro Costa-Neto, Chetan Nandikanti","BEC 1409 (Cloud)","7/26/2025 1:40:00 PM"
"Managing SQL Server with Azure Arc Unleashed","David Pless, Abdullah Mamun","BEC 1409 (Cloud)","7/26/2025 2:45:00 PM"
"The Collision of Real-Time Analytics and Observability","Barkha Herman","BEC 1425 (Cloud 2)","7/26/2025 8:30:00 AM"
"Using Digital Forensics for Data Loss Prevention (DLP)","Paresh Motiwala","BEC 1425 (Cloud 2)","7/26/2025 9:40:00 AM"
